2021-11-24 02:27:34,406 - exp name: KL_model_pool
2021-11-24 05:11:35,918 - finish rollout - env_pool: 5250, model_pool: 100000
2021-11-24 05:15:06,518 - exp name: KL_model_pool
2021-11-24 05:15:59,225 - env_pool: 5250, model_pool: 0
2021-11-24 05:15:59,537 - model_epoch: 0, losses_avg: 0.235084, losses_std: 0.014717
2021-11-24 05:16:20,620 - model_epoch: 100, losses_avg: 0.028882, losses_std: 0.001909
2021-11-24 05:16:41,724 - model_epoch: 200, losses_avg: 0.023292, losses_std: 0.001943
2021-11-24 05:16:54,394 - model_epoch: 260, losses_avg: 0.021717, losses_std: 0.001493
2021-11-24 05:16:56,989 - finish rollout - env_pool: 5250, model_pool: 100000
2021-11-24 05:18:42,871 - exp name: KL_model_pool
2021-11-24 05:19:35,558 - env_pool: 5250, model_pool: 0
2021-11-24 05:19:35,869 - model_epoch: 0, losses_avg: 0.202071, losses_std: 0.011733
2021-11-24 05:19:56,993 - model_epoch: 100, losses_avg: 0.023780, losses_std: 0.001734
2021-11-24 05:20:12,278 - model_epoch: 173, losses_avg: 0.020276, losses_std: 0.001666
2021-11-24 05:20:14,865 - finish rollout - env_pool: 5250, model_pool: 100000
